1	AR	2027	1	2159	5	1982	26	1751	0	-3	5	63	1	12	3	35	6	93	13	143	822	301	322	199	431	184	207	1552	895	1	12
2	CZ	1988	1	2038	11	1870	27	1686	3	20	-1	-50	4	5	10	117	3	44	17	122	641	258	312	71	309	188	144	1214	823	4	5
2	FR	1988	1	2137	18	1750	40	1507	1	-15	0	-40	-1	-65	3	11	0	-52	6	79	653	329	253	71	300	221	132	1172	1044	-1	-65
4	EN	1978	1	2216	4	1985	17	1792	0	-1	1	5	3	22	2	25	8	72	9	84	882	376	431	75	511	167	204	2145	901	3	22
5	BR	1972	1	2194	5	1983	20	1813	-3	-37	-2	-34	0	-18	-4	-85	-4	-122	-4	-97	773	285	255	233	479	134	160	1675	749	0	-18
6	ES	1966	1	2047	8	1920	19	1800	0	1	-2	-20	-3	-40	-3	-31	-3	-41	-3	-31	500	235	200	65	263	108	129	950	498	-3	-40
7	NL	1940	1	2106	17	1815	49	1550	0	-6	2	23	-3	-51	-5	-111	-3	-17	-2	-19	637	306	260	71	304	192	141	1331	909	-3	-51
8	IT	1907	1	2131	8	1909	21	1605	0	-23	-1	-37	0	-17	3	28	0	-21	-4	-78	632	298	236	98	339	130	163	1126	649	0	-17
9	PT	1902	2	2022	21	1760	42	1619	0	1	-1	-21	0	-17	-1	-29	1	-10	10	36	426	208	172	46	186	143	97	675	563	0	-17
10	MX	1887	7	1944	21	1760	48	1495	2	22	4	36	3	38	5	54	4	-17	7	16	632	216	185	231	315	164	153	1174	680	3	38
11	DE	1883	1	2143	8	1890	24	1639	4	28	6	42	0	1	-4	-55	6	-4	-9	-115	753	318	319	116	427	172	154	1664	917	0	1
11	GR	1883	7	1931	51	1514	84	1277	-1	-5	2	28	11	89	35	216	17	141	28	235	418	201	193	24	142	176	100	532	662	11	89
13	SE	1873	2	2012	15	1792	46	1577	6	35	-1	12	8	70	4	52	3	-20	-7	-76	850	379	388	83	419	249	182	1806	1186	8	70
14	DK	1864	1	2077	20	1793	61	1536	-3	-9	-4	-6	-4	-32	-5	-48	-3	-44	-4	-40	669	298	304	67	305	236	128	1261	985	-4	-32
15	IE	1862	4	1920	22	1606	64	1237	3	21	1	17	0	29	-1	14	9	95	-1	-22	507	253	221	33	176	214	117	682	912	0	29
16	JP	1847	8	1896	68	1428	114	1214	-3	-10	4	35	10	68	3	38	34	205	40	244	499	176	128	195	217	178	104	849	653	10	68
17	HR	1838	5	2005	12	1879	26	1782	-4	-19	2	22	1	12	5	36	-8	-76	-8	-70	148	64	63	21	72	32	44	251	154	1	12
18	US	1831	12	1854	43	1614	89	1417	2	1	-3	-19	-3	-2	-2	4	2	26	34	215	460	248	162	50	169	186	105	597	683	-3	-2
19	RO	1822	5	1946	26	1712	43	1503	-3	-24	-1	-13	0	17	6	29	-4	-80	-9	-82	568	232	281	55	250	179	139	953	768	0	17
20	UY	1820	1	2106	12	1875	44	1635	1	-3	14	114	-8	-43	6	29	12	87	3	15	755	265	312	178	325	252	178	1200	980	-8	-43
21	AU	1811	11	1880	37	1634	76	1472	4	19	1	19	-4	-18	0	4	5	47	8	91	370	175	135	60	189	105	76	801	429	-4	-18
22	PL	1801	2	2083	28	1704	58	1526	8	59	6	56	7	59	14	92	6	59	8	83	655	263	326	66	277	220	158	1123	938	7	59
23	CO	1799	5	1943	58	1532	100	1304	3	16	2	15	15	95	-10	-62	-1	7	-11	-97	395	124	142	129	139	146	110	469	521	15	95
24	IR	1798	21	1805	42	1626	75	1461	-1	-7	7	73	11	84	12	89	1	32	43	252	394	133	101	160	213	93	88	765	336	11	84
25	NO	1797	8	1929	38	1599	86	1364	4	36	-1	12	11	87	-2	-1	-13	-109	-9	-79	666	318	307	41	231	286	149	1029	1201	11	87
26	TR	1796	10	1899	45	1576	73	1381	-9	-47	-15	-73	-12	-45	-16	-99	5	58	25	179	414	185	192	37	141	179	94	528	660	-12	-45
27	PY	1774	5	1954	22	1755	44	1617	-3	-20	-2	-10	-4	-18	4	11	-8	-41	4	79	546	149	253	144	201	207	138	741	813	-4	-18
28	RM	1772	3	2009	18	1788	39	1515	3	42	4	53	3	37	-10	-40	-22	-163	-21	-145	614	219	299	96	291	195	128	1215	906	3	37
29	RU	1757	1	2088	22	1732	48	1449	-1	-12	-2	-23	-4	-24	-9	-51	-11	-63	-7	-87	561	189	280	92	298	120	143	1014	562	-4	-24
30	NG	1756	16	1828	40	1657	72	1500	-8	-64	-9	-40	0	18	4	14	9	61	-6	-27	455	169	190	96	204	123	128	685	497	0	18
31	UA	1739	28	1746	47	1650	70	1536	16	77	23	100	17	81	9	51	4	28	35	191	106	43	57	6	37	34	35	120	115	17	81
32	BG	1731	7	1896	37	1629	69	1320	1	10	8	46	-5	-35	1	-20	11	67	-11	-127	568	213	292	63	211	220	137	830	866	-5	-35
33	BE	1726	4	1959	23	1734	52	1498	-6	-51	-11	-66	-14	-79	-6	-60	-12	-69	-7	-40	632	307	277	48	251	246	135	1092	1105	-14	-79
34	KR	1713	15	1844	37	1667	79	1446	0	8	3	18	6	19	-4	-54	4	12	11	79	738	220	183	335	413	147	178	1417	675	6	19
35	CM	1705	14	1852	53	1589	81	1453	-3	-20	-5	-22	-11	-82	-11	-91	25	121	28	134	416	114	167	135	179	112	125	622	479	-11	-82
36	SN	1692	21	1812	59	1565	105	1392	8	22	6	15	-8	-61	-8	-88	35	164	61	269	438	153	167	118	179	140	119	551	441	-8	-61
37	CR	1691	9	1863	33	1691	73	1495	18	65	-4	-16	-6	-44	-5	-63	14	61	6	52	460	169	153	138	229	133	98	925	531	-6	-44
37	CH	1691	10	1918	28	1658	56	1485	-2	5	2	5	-4	-35	1	-17	-5	-42	-20	-180	646	309	298	39	201	309	136	918	1212	-4	-35
39	IL	1686	23	1771	47	1611	78	1426	-1	8	11	27	10	35	2	-1	3	19	9	65	344	175	127	42	130	135	79	530	488	10	35
40	FI	1685	14	1747	63	1469	120	1246	-2	7	7	21	-3	-22	8	21	23	114	33	162	595	253	314	28	135	343	117	711	1407	-3	-22
41	PE	1681	14	1884	34	1662	73	1486	0	6	-3	-9	0	-9	10	58	-11	-60	24	132	470	186	162	122	148	207	115	612	697	0	-9
42	MA	1675	18	1823	39	1667	66	1531	1	2	1	0	21	100	21	115	-19	-108	12	68	468	192	163	113	216	114	138	666	431	21	100
43	CI	1674	20	1773	47	1622	75	1497	2	7	3	7	16	80	20	114	22	104	-7	21	391	155	144	92	191	103	97	611	407	16	80
44	EC	1667	22	1786	75	1438	117	1184	2	2	-15	-65	-10	-50	-9	-55	-3	-3	0	31	347	114	125	108	88	170	89	381	614	-10	-50
45	SK	1666	17	1766	33	1686	54	1636	3	15	4	3	-1	-2	-1	-6	-5	-11	-12	-2	141	57	70	14	53	54	34	193	195	-1	-2
46	SI	1662	27	1758	55	1609	74	1516	4	16	10	32	0	-1	3	4	9	53	14	75	112	44	50	18	38	41	33	142	151	0	-1
47	CL	1654	9	1889	29	1646	60	1384	-7	-23	-12	-50	6	26	11	64	-20	-98	-19	-86	575	227	210	138	198	253	124	805	886	6	26
48	EG	1648	10	1891	33	1665	68	1525	-6	-26	-3	-20	-10	-56	5	40	0	1	-1	23	577	228	198	151	276	153	148	1008	653	-10	-56
49	AT	1647	1	2067	16	1830	55	1601	-13	-37	-8	-32	-6	-28	-7	-35	-13	-61	6	43	643	304	303	36	270	237	136	1203	1057	-6	-28
