1	BR	2182	1	2194	5	1980	13	1813	0	30	0	39	1	108	0	64	1	186	4	222	652	259	209	184	410	110	132	1431	648	1	108
2	DE	2070	1	2143	8	1888	24	1639	0	4	0	-2	-1	-11	0	39	1	77	1	103	655	279	282	94	374	148	133	1467	812	-1	-11
3	ES	2041	1	2047	8	1914	19	1800	0	-6	0	4	0	14	0	53	13	209	1	80	420	198	170	52	214	96	110	775	437	0	14
4	FR	2013	1	2060	19	1728	40	1507	0	5	0	5	0	-2	2	56	6	115	9	150	553	281	220	52	234	210	109	974	980	0	-2
5	EN	2002	1	2216	4	1988	17	1792	0	5	0	7	3	45	8	132	1	56	-4	-12	799	339	402	58	472	150	177	2009	828	3	45
6	IT	1974	1	2131	8	1904	21	1605	0	7	0	-7	-1	1	-3	-14	-2	-5	0	37	552	263	206	83	295	115	142	1008	590	-1	1
6	YU	1974	3	2009	18	1782	39	1515	2	24	2	29	3	41	1	32	1	42	12	139	538	199	257	82	260	172	106	1100	817	3	41
8	NL	1940	1	2106	17	1801	49	1550	-1	-15	1	-4	-1	-22	0	21	-3	-27	-2	3	554	265	235	54	261	181	112	1163	838	-1	-22
9	DK	1929	1	2077	20	1786	61	1536	0	-6	-2	-48	-3	-40	-4	-42	-1	17	-1	21	587	265	271	51	266	216	105	1136	899	-3	-40
10	PT	1885	3	2022	22	1744	42	1619	1	4	3	20	1	-2	4	18	12	89	18	137	348	164	149	35	139	130	79	490	494	1	-2
10	RO	1885	5	1946	27	1700	43	1503	0	3	2	14	5	29	1	-4	7	56	4	23	487	199	248	40	208	159	120	813	691	5	29
12	RU	1873	1	2088	22	1726	48	1449	1	9	-2	-20	-1	-14	-3	-26	0	-12	-10	-116	490	160	242	88	267	100	123	903	478	-1	-14
13	CZ	1871	2	2025	11	1866	27	1686	-1	-4	-3	-22	-3	-54	-3	-25	5	44	4	28	562	224	277	61	258	173	131	1053	758	-3	-54
14	HR	1864	6	1961	11	1881	18	1845	2	19	0	6	-1	-21	-2	-17	0	-6	0	0	67	28	32	7	35	14	18	135	80	-1	-21
15	NO	1859	9	1886	39	1582	86	1364	-2	-5	2	33	0	3	7	52	13	101	19	178	577	280	270	27	191	266	120	892	1117	0	3
16	AU	1849	12	1880	39	1619	76	1472	2	17	0	21	11	94	15	137	13	103	20	178	310	150	118	42	154	89	67	592	374	11	94
17	AR	1830	1	2159	5	1982	26	1751	-2	-23	2	23	4	35	0	-14	-16	-200	-8	-76	737	277	286	174	376	172	189	1391	823	4	35
18	SE	1824	2	2012	15	1788	46	1577	1	1	-3	-14	0	6	-3	-22	-9	-79	-8	-59	757	346	346	65	376	229	152	1656	1110	0	6
19	BG	1823	7	1896	36	1621	69	1320	-2	-20	-1	4	-2	-6	0	-13	2	19	6	55	491	185	255	51	180	192	119	738	774	-2	-6
20	BE	1799	4	1959	23	1730	52	1498	2	19	2	8	6	42	5	22	-7	-76	4	22	557	274	246	37	222	225	110	982	1017	6	42
21	SQ	1792	1	2104	8	1913	33	1698	0	1	2	4	-2	-21	2	9	2	1	-1	-4	591	274	285	32	294	170	127	1123	723	-2	-21
22	MX	1789	8	1944	21	1752	44	1495	-2	-13	-1	-13	-1	-6	2	7	2	2	-11	-77	496	183	160	153	245	128	123	935	545	-1	-6
23	CO	1768	5	1943	62	1502	100	1304	2	15	3	-6	-9	-113	-7	-77	2	-6	3	11	300	99	110	91	101	118	81	356	429	-9	-113
24	KR	1761	15	1832	38	1657	79	1446	6	25	13	74	37	179	22	132	13	101	15	102	615	162	157	296	360	117	138	1227	562	37	179
25	JP	1758	22	1805	72	1396	114	1214	12	56	6	42	3	12	22	130	44	229	51	272	397	123	108	166	169	151	77	691	558	3	12
26	EC	1756	22	1786	79	1405	117	1184	-3	-18	-2	-26	9	67	10	86	18	113	41	224	263	90	95	78	61	136	66	294	510	9	67
27	UY	1755	1	2106	11	1882	44	1635	16	81	12	75	-4	-13	-9	-83	-12	-95	-11	-98	678	243	282	153	294	228	156	1086	879	-4	-13
