37	PY	1686	5	1954	22	1757	44	1617	-1	-22	-4	-24	2	-16	-5	-33	-8	-74	-10	-88	674	183	313	178	247	253	174	899	964	2	-16
38	TR	1685	10	1899	42	1599	73	1381	-7	-33	-10	-67	-4	-28	0	-17	-17	-100	-12	-111	531	228	241	62	197	212	122	713	790	-4	-28
38	IL	1685	23	1771	46	1624	78	1426	14	52	14	52	14	44	16	68	1	-33	1	-1	426	213	165	48	163	161	102	659	597	14	44
40	GH	1683	10	1872	41	1660	100	1427	-3	-17	-4	-19	-2	-20	4	5	2	-3	50	201	616	196	244	176	305	165	146	1005	634	-2	-20
41	NG	1675	16	1828	39	1667	72	1500	-2	-15	-10	-51	-9	-47	9	23	-8	-73	-11	-81	577	201	230	146	262	148	167	864	598	-9	-47
42	DZ	1674	10	1875	51	1626	108	1392	-4	-20	0	-1	19	88	29	111	22	89	56	249	539	203	200	136	225	168	146	745	566	19	88
42	VE	1674	19	1806	90	1381	126	1212	-2	-13	-3	-23	-5	-31	-8	-36	-5	-48	13	52	359	142	137	80	90	195	74	387	714	-5	-31
44	IR	1673	18	1836	41	1640	75	1461	1	7	1	7	-14	-57	4	17	6	39	-20	-125	544	188	152	204	296	116	132	1015	442	-14	-57
44	GR	1673	7	1931	48	1544	84	1277	-21	-112	-24	-142	-28	-168	-25	-152	-22	-110	-33	-210	536	244	237	55	198	208	130	671	774	-28	-168
46	IS	1661	43	1674	83	1395	125	1256	16	75	28	122	28	119	44	176	54	214	31	135	385	176	186	23	114	200	71	448	660	28	119
47	HU	1658	1	2230	18	1847	75	1528	4	19	-5	-17	-2	-24	-8	-34	8	47	12	44	891	401	424	66	423	276	192	1847	1339	-2	-24
48	SI	1656	27	1758	55	1614	76	1516	8	39	2	14	0	-5	11	55	-3	-17	-2	-6	205	89	91	25	72	85	48	249	262	0	-5
49	AU	1651	11	1880	36	1648	76	1472	-5	-16	-4	-15	-18	-78	-24	-123	-30	-139	-28	-160	496	211	183	102	250	142	104	1003	564	-18	-78
50	CM	1649	14	1852	51	1606	81	1453	0	7	16	76	7	46	10	50	-26	-126	-15	-56	517	140	207	170	229	139	149	773	579	7	46
51	UZ	1645	25	1772	61	1585	91	1435	3	14	5	30	-2	-4	-2	-9	24	97	10	36	232	75	96	61	107	74	51	424	280	-2	-4
52	AE	1644	41	1677	103	1361	162	982	-4	-4	-5	-5	-3	-5	40	168	59	246	52	246	511	215	114	182	194	184	133	698	662	-3	-5
53	SN	1641	21	1812	60	1571	105	1392	-1	8	10	56	15	73	28	118	25	96	-17	-51	533	177	205	151	220	164	149	692	540	15	73
54	ZA	1634	8	1817	26	1731	97	1452	4	23	8	46	10	51	14	61	30	113	12	48	366	180	127	59	161	111	94	500	406	10	51
